# this file was generated by the following command(s):
#   /mnt/c/Projects/Repository/ccg2lambda_pipe/candc-1.00/bin/candc --models /mnt/c/Projects/Repository/ccg2lambda_pipe/candc-1.00/models --candc-printer xml --input datasets/corpus_fail/syn_fail.tok.txt --log datasets/corpus_fail/syn_fail.candc.log --output datasets/corpus_fail/syn_fail.candc.xml

1 attempt nospan at B=0.075, K=20
1 attempt nospan at B=0.03, K=20
1 attempt nospan at B=0.01, K=20
1 attempt nospan at B=0.005, K=20
1 attempt nospan at B=0.001, K=150
1 failed no span at B=0.001, K=150
2 attempt nospan at B=0.075, K=20
2 attempt nospan at B=0.03, K=20
2 attempt nospan at B=0.01, K=20
2 attempt nospan at B=0.005, K=20
2 attempt nospan at B=0.001, K=150
2 failed no span at B=0.001, K=150
3 attempt nospan at B=0.075, K=20
3 attempt nospan at B=0.03, K=20
3 attempt nospan at B=0.01, K=20
3 attempt nospan at B=0.005, K=20
3 attempt nospan at B=0.001, K=150
3 failed no span at B=0.001, K=150
